id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
49340,"Worcester, MA-CT Metro Area",764921,374229,19414,13022,341793,390692,25881,14217,350594
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",760540,365992,15643,11203,339146,394548,20614,16127,357807
10580,"Albany-Schenectady-Troy, NY Metro Area",733435,355460,20949,14572,319939,377975,23448,17476,337051
23420,"Fresno, CA Metro Area",729934,361376,29816,4556,327004,368558,33472,5690,329396
10740,"Albuquerque, NM Metro Area",729329,355375,28949,4275,322151,373954,35620,5542,332792
35300,"New Haven-Milford, CT Metro Area",713308,339875,15443,15791,308641,373433,20471,19006,333956
28940,"Knoxville, TN Metro Area",708259,342715,21805,4718,316192,365544,24440,5636,335468
36540,"Omaha-Council Bluffs, NE-IA Metro Area",707608,346744,21978,7467,317299,360864,26988,11173,322703
24860,"Greenville-Anderson-Mauldin, SC Metro Area",698166,335782,21133,8692,305957,362384,24973,10105,327306
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",683903,331274,12285,10823,308166,352629,15066,15321,322242
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",675175,332128,22662,5994,303472,343047,25467,7442,310138
12940,"Baton Rouge, LA Metro Area",660426,319335,26238,3861,289236,341091,31537,5581,303973
12540,"Bakersfield, CA Metro Area",656036,337759,20227,4897,312635,318277,24175,6135,287967
19380,"Dayton, OH Metro Area",653947,313182,20036,10998,282148,340765,25824,11944,302997
17900,"Columbia, SC Metro Area",650770,312992,26021,5369,281602,337778,30414,8669,298695
35840,"North Port-Sarasota-Bradenton, FL Metro Area",646343,307092,9658,3689,293745,339251,13258,4737,321256
21340,"El Paso, TX Metro Area",639359,309750,29633,4494,275623,329609,33384,5125,291100
24660,"Greensboro-High Point, NC Metro Area",606601,286260,19718,4371,262171,320341,29130,6388,284823
32580,"McAllen-Edinburg-Mission, TX Metro Area",593524,284725,19035,3718,261972,308799,23061,4949,280789
16700,"Charleston-North Charleston, SC Metro Area",590753,285908,19572,4197,262139,304845,22703,6352,275790
10420,"Akron, OH Metro Area",581979,279932,23713,2895,253324,302047,29191,4453,268403
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",581792,278432,18658,4049,255725,303360,25297,4325,273738
15980,"Cape Coral-Fort Myers, FL Metro Area",576103,279677,11688,3078,264911,296426,15165,4931,276330
44700,"Stockton-Lodi, CA Metro Area",549610,271183,14894,5512,250777,278427,18522,8090,251815
17820,"Colorado Springs, CO Metro Area",546173,273940,26134,5205,242601,272233,22143,6004,244086
45060,"Syracuse, NY Metro Area",543634,261716,13947,12660,235109,281918,15906,17550,248462
49180,"Winston-Salem, NC Metro Area",530160,251215,11091,4940,235184,278945,16900,7640,254405
44140,"Springfield, MA Metro Area",523509,247232,23766,6322,217144,276277,25652,15247,235378
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",523095,252073,12348,6895,232830,271022,15151,5963,249908
31540,"Madison, WI Metro Area",520590,257086,28543,2916,225627,263504,31699,4839,226966
29460,"Lakeland-Winter Haven, FL Metro Area",517762,251057,9361,4242,237454,266705,12882,6618,247205
14260,"Boise City, ID Metro Area",517649,256846,16544,3447,236855,260803,20197,5146,235460
48620,"Wichita, KS Metro Area",500281,245732,16147,3401,226184,254549,20916,4649,228984
45780,"Toledo, OH Metro Area",492060,236911,20526,2873,213512,255149,25897,4138,225114
19780,"Des Moines-West Des Moines, IA Metro Area",479470,233439,10494,6358,216587,246031,11987,8806,225238
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",475034,229837,10942,5028,213867,245197,14187,3543,227467
12260,"Augusta-Richmond County, GA-SC Metro Area",469545,225978,12358,2570,211050,243567,17954,4540,221073
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",468916,227536,6649,8804,212083,241380,8396,11546,221438
36260,"Ogden-Clearfield, UT Metro Area",463436,231055,17685,3864,209506,232381,16842,3156,212383
25420,"Harrisburg-Carlisle, PA Metro Area",461659,224134,10503,4633,208998,237525,13662,6317,217546
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",460092,222515,9736,3244,209535,237577,13013,4109,220455
27140,"Jackson, MS Metro Area",458856,215984,13998,3809,198177,242872,20259,6315,216298
16860,"Chattanooga, TN-GA Metro Area",446804,213605,12618,3401,197586,233199,15172,4754,213273
20500,"Durham-Chapel Hill, NC Metro Area",445019,210066,18944,7778,183344,234953,26352,8835,199766
44060,"Spokane-Spokane Valley, WA Metro Area",441924,217334,13333,5458,198543,224590,15471,6334,202785
38860,"Portland-South Portland, ME Metro Area",439666,211752,8796,4839,198117,227914,12483,7010,208421
29540,"Lancaster, PA Metro Area",426360,206168,7895,4435,193838,220192,10628,5670,203894
42220,"Santa Rosa, CA Metro Area",413144,200617,14595,1668,184354,212527,18531,2834,191162
33700,"Modesto, CA Metro Area",409811,200577,13430,2400,184747,209234,16717,3311,189206
39340,"Provo-Orem, UT Metro Area",404635,202187,19184,20528,162475,202448,16196,18379,167873
30460,"Lexington-Fayette, KY Metro Area",402512,195414,18855,4150,172409,207098,23613,5079,178406
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",393079,194107,16426,2423,175258,198972,18590,2399,177983
29620,"Lansing-East Lansing, MI Metro Area",388931,188057,30927,2191,154939,200874,33038,2818,165018
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",388800,194493,12673,3782,178038,194307,14961,4598,174748
29180,"Lafayette, LA Metro Area",382583,184854,9887,1023,173944,197729,13053,2127,182549
38940,"Port St. Lucie, FL Metro Area",375765,182532,7633,2190,172709,193233,11014,2185,180034
11700,"Asheville, NC Metro Area",371356,176604,8693,2172,165739,194752,12485,2868,179399
44180,"Springfield, MO Metro Area",366402,177338,13961,3880,159497,189064,19217,4952,164895
39900,"Reno, NV Metro Area",361482,180672,13927,1550,165195,180810,17600,2243,160967
49620,"York-Hanover, PA Metro Area",359039,175695,5131,3837,166727,183344,7905,5475,169964
26620,"Huntsville, AL Metro Area",358382,174592,14443,2184,157965,183790,15739,2481,165570
42200,"Santa Maria-Santa Barbara, CA Metro Area",356859,178232,25466,2530,150236,178627,25854,2904,149869
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",354435,170181,8228,975,160978,184254,10813,1651,171790
43340,"Shreveport-Bossier City, LA Metro Area",353901,168092,7381,1479,159232,185809,12515,2010,171284
18580,"Corpus Christi, TX Metro Area",353498,173023,9773,695,162555,180475,14159,1012,165304
46700,"Vallejo-Fairfield, CA Metro Area",347868,171790,11656,3095,157039,176078,12196,3217,160665
39740,"Reading, PA Metro Area",336337,163797,8224,2638,152935,172540,11737,4482,156321
47300,"Visalia-Porterville, CA Metro Area",335144,166382,9962,1651,154769,168762,12694,2505,153563
23060,"Fort Wayne, IN Metro Area",334626,161861,9403,2471,149987,172765,11828,3445,157492
41500,"Salinas, CA Metro Area",333836,170519,13425,2617,154477,163317,15850,2131,145336
22420,"Flint, MI Metro Area",333571,158297,9212,2028,147057,175274,13290,2035,159949
31700,"Manchester-Nashua, NH Metro Area",333399,164414,5558,6235,152621,168985,6361,7675,154949
33660,"Mobile, AL Metro Area",332002,156579,8132,2050,146397,175423,11402,3495,160526
15940,"Canton-Massillon, OH Metro Area",330733,159049,6681,3583,148785,171684,10024,5026,156634
28660,"Killeen-Temple, TX Metro Area",327670,162385,12901,2975,146509,165285,15764,4468,145053
41540,"Salisbury, MD-DE Metro Area",325649,157079,9676,1285,146118,168570,15080,1872,151618
13140,"Beaumont-Port Arthur, TX Metro Area",325106,163934,7912,860,155162,161172,10509,1083,149580
41420,"Salem, OR Metro Area",320646,157562,8884,3247,145431,163084,11721,3937,147426
